sku,name,brand,category,description,source_url,data_source
KEHE-CADIA-KOSHER-BABY-DILL-PICKLES,Kosher Baby Dill Pickles,CADIA,Pickles,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/baby-dill-pickles/,kehe_public_marketing_page
KEHE-CADIA-ORGANIC-CREAMY-CARROT-COCONUT-SOUP,Organic Creamy Carrot Coconut Soup,CADIA,Soup,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/creamy-carrot-coconut-soup/,kehe_public_marketing_page
KEHE-CADIA-SEA-SALT-VEGGIE-STRAWS,Sea Salt Veggie Straws,CADIA,Snacks,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/veggie-straws/,kehe_public_marketing_page
KEHE-CADIA-KOSHER-WHOLE-DILL-PICKLES,Kosher Whole Dill Pickles,CADIA,Pickles,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/whole-dill-pickles/,kehe_public_marketing_page
KEHE-CADIA-KOSHER-DILL-PICKLE-SPEARS,Kosher Dill Pickle Spears,CADIA,Pickles,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/kosher-dill-pickle-spears/,kehe_public_marketing_page
KEHE-CADIA-CANNED-ORGANIC-CRUSHED-TOMATOES-WITH-BASIL,Canned Organic Crushed Tomatoes with Basil,CADIA,Canned Tomatoes,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/organic-crushed-tomatoes/,kehe_public_marketing_page
KEHE-CADIA-ORGANIC-CANNED-DICED-TOMATOES,Organic Canned Diced Tomatoes,CADIA,Canned Tomatoes,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/canned-diced-tomatoes/,kehe_public_marketing_page
KEHE-CADIA-ORGANIC-CREAMY-MUSHROOM-SOUP,Organic Creamy Mushroom Soup,CADIA,Soup,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/organic-mushroom-soup/,kehe_public_marketing_page
KEHE-CADIA-CHICKEN-NUGGETS,Chicken Nuggets,CADIA,Frozen/Prepared Entrees,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/natural-chicken-nuggets/,kehe_public_marketing_page
KEHE-CADIA-JALAPENO-VEGGIE-STRAWS,Jalapeno Veggie Straws,CADIA,Snacks,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/jalapeno-veggie-straws/,kehe_public_marketing_page
KEHE-CADIA-KOSHER-DILL-PICKLE-RELISH,Kosher Dill Pickle Relish,CADIA,Pickles,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/dill-pickle-relish/,kehe_public_marketing_page
KEHE-CADIA-ORGANIC-TOMATO-PASTE-ALL-NATURAL,Organic Tomato Paste - All Natural,CADIA,Canned Tomatoes,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/organic-tomato-paste/,kehe_public_marketing_page
KEHE-CADIA-ORGANIC-TOMATO-SAUCE-ALL-NATURAL,Organic Tomato Sauce - All Natural,CADIA,Canned Tomatoes,"CADIA product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://mycadia.com/product/organic-tomato-sauce/,kehe_public_marketing_page
KEHE-MADE-WITH-ORGANIC-LIGHT-AGAVE-NECTAR-SYRUP-NON-GMO,Organic Light Agave Nectar Syrup - Non-GMO,MADE-WITH,Syrups,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/light-agave-syrup/,kehe_public_marketing_page
KEHE-MADE-WITH-ORGANIC-MAYONNAISE-CLASSIC-NON-GMO,Organic Mayonnaise - Classic - Non GMO,MADE-WITH,Condiments,"MADE-WITH product, sourced from KeHE's public retailers/brand-partner page. No baseline sales or sales history is available for this item yet.",https://madewithfoods.com/product/organic-mayonnaise/,kehe_public_marketing_page
